NAF,Nom,Complement_adresse,Numero_voie,Type_voie,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,CoordonneesLambertAbscisse,CoordonneesLambertOrdonnee
46.73A,BELITH SPECIALTIES,"",48,CHEMIN,DES OLIVIERS,69230,SAINT-GENIS-LAVAL,838584.5311338835,6511468.977357143
46.73A,FEMAT LYON EST,"",28,RUE,LOUIS PRADEL,69960,CORBAS,848967.467797325,6510116.89247141
46.73A,DECAMATERIAUX,"",156,RUE,MONCEY,69003,LYON,843971.1475962856,6519881.968058451
46.73A,KARDIGAN,BATIMENT ZERMATT,1306,CHEMIN,DU CHAMP DE LIERE,69140,RILLIEUX-LA-PAPE,845482.2567919914,6524714.462684007
46.73A,FENETRES & VOUS,"",533,RUE,DES GRILLONS,69400,GLEIZE,831699.8555033358,6545392.851247673
46.73A,S.G.DIFFUSION,"",3,ALLEE,BARTHELEMY THIMONNIER,69970,CHAPONNAY,850162.0652077678,6507693.437957084
46.73A,PMC DELOY,"",14,AVENUE,DES FRERES MONTGOLFIER,69680,CHASSIEU,852935.5266121186,6516018.808510922
46.73A,MEME PALIER,"",21,CHEMIN,DE LA CROIX BLANCHE,69510,SOUCIEU-EN-JARREST,831517.0234519161,6509698.686583615
46.73A,INHEXIS,"",17,IMP,GEN BROSSET,69140,RILLIEUX LA PAPE,0,0
46.73A,GLOBALIS COMPETENCES,"",12,RUE,FULGENCIO GIMENEZ,69120,VAULX-EN-VELIN,849390.4478817484,6518729.949992824
46.73A,CATANIA CERAMIQUE,"",25,AVENUE,JEAN MOULIN,69520,GRIGNY,840030.7589267832,6502784.1709156325
46.73A,DSHWOOD FRANCE,BATIMENT 4 PARC MILLESIME,119,RUE,MICHEL AULAS,69400,LIMAS,832873.4288300604,6543206.168901317
46.73A,NOVIHOME,"",25,RUE,PAUL MONTROCHET,69002,LYON,841575.2808889064,6517092.195854161
46.73A,DECOCERA,"",48,RUE,DU DAUPHINE,69800,SAINT-PRIEST,849488.398484585,6514255.430498588
46.73A,3F3G,"",260,RUE,DU COMPANET,69140,RILLIEUX-LA-PAPE,845954.6611597356,6525246.776646296
46.73A,AU FAITE,"",2,CHEMIN,DU GENIE,69200,VENISSIEUX,844817.0525406802,6514649.258048379
46.73A,SAINBIOSE,"",9,RUE,DU PERIGORD,69330,MEYZIEU,857079.3792559117,6519796.753807796
46.73A,INOPRO,"",42,RUE,VAUCANSON,69150,DECINES-CHARPIEU,850767.0398439735,6518958.345859954
46.73A,CONCEPT BERTHEAU MENUISERIES,"",36,RUE,DU GUICHOLET,69390,MILLERY,838935.1750711764,6505482.800693599
46.73A,TARARE MATERIAUX,"",4,AVENUE,MATHIEU MISERY,69160,TASSIN-LA-DEMI-LUNE,837358.6652804886,6519135.993375079
46.73A,NEOLIFE,"",11,CHEMIN,DES ANCIENNES VIGNES,69410,CHAMPAGNE-AU-MONT-D'OR,837856.8943461671,6524054.181485037
46.73A,CNT,ZONE ARTISANALE,"",IMPASSE,DU PETIT PRINCE,69124,COLOMBIER-SAUGNIEU,863612.8173260958,6514323.654636371
46.73A,CIFFREO & BONA,"",3,RUE,DES ALPES,69120,VAULX-EN-VELIN,850509.9132653025,6521951.640880099
46.73A,EVDEMA FRANCE,"",35,CHEMIN,DE GENAS,69800,SAINT-PRIEST,852764.9871995293,6514921.0376368705
46.73A,EUROPA TRANSIT,"",16,RUE,DES FRERES LUMIERE,69740,GENAS,854719.1465787278,6514817.330683241
46.73A,F BERNARD SA,"",10,RUE,DE LA CHARITE,69002,LYON,842462.9276173494,6518974.891171777
46.73A,RESO LPI,"",9,RUE,JEAN ZAY,69800,SAINT-PRIEST,848759.6758668647,6513661.099987211
46.73A,SARL JEAN CORNE ET CIE,41/43,"",RUE,ROGER SALENGRO,69200,VENISSIEUX,845273.592246169,6515280.5462508695
46.73A,SOCIETE MODERNE D'ISOLATION,"",33,ROUTE,DE LYON,69960,CORBAS,847427.8008056072,6510907.001710115
46.73A,SARL JUNET BOIS,"",1050,ROUTE,DE SARCEY,69490,SAINT-ROMAIN-DE-POPEY,819986.3102863932,6530915.217935523
46.73A,DECO MATIERE,"",104,ROUTE,D’ANSE,69620,FRONTENAS,827566.9429494074,6537810.417238293
46.73A,WEDI FRANCE SARL,GERLAND TECHNOPARK - IMMEUBLE B,43,RUE,SAINT JEAN DE DIEU,69007,LYON,843611.0080585014,6515438.272842372
46.73A,ETERNO - IVICA SRL,"",12,RUE,JEAN CARMET,69800,SAINT-PRIEST,848920.7037889444,6514200.315169385
46.73A,CIFFREO & BONA,"",1425,ROUTE,NATIONALE 6,69400,ARNAS,833084.2703718408,6547310.152574266
46.73A,SPECIALISTES MENUISERIES INDUSTRIELLES,"",4,RUE,PASTEUR,69720,SAINT-BONNET-DE-MURE,856686.2412727403,6513142.576802964
46.73A,ACCESSOIRES DE CONSTRUCTION,"",16,RUE,DE L’AVENIR,69740,GENAS,853868.0256041873,6515042.111984946
46.73A,FEMAT,"",14,CHEMIN,DES HIRONDELLES,69570,DARDILLY,836962.1776893571,6524476.444543398
46.73A,MARTIN RENARD,ZI MI-PLAINE,16,CHEMIN,DES MURIERS,69740,GENAS,854441.9746979465,6514782.693039323
46.73A,PIERRES DE L'EST,"","",ROUTE,DE RIVE-DE-GIER,69700,GIVORS,835613.0713983417,6499571.1110689975
46.73A,ALUK SYSTEMES,"","",RUE,DU PETIT BOIS,69440,MORNANT,832603.7547155514,6504027.759648344
46.73A,METALTEQ,"",21,RUE,JEAN JAURES,69330,MEYZIEU,856886.7836698384,6521635.760964119
46.73A,AM EXPRESS,"",13,BOULEVARD,EDMOND MICHELET,69008,LYON,845931.8374665631,6516478.405015113
46.73A,PLATTARD CARRELAGES,"",414,AVENUE,DE LA PLAGE,69400,VILLEFRANCHE-SUR-SAONE,835336.408463369,6543844.696503466
46.73A,K&M,"",18,RUE,DES REMPARTS D'AINAY,69002,LYON,842237.7105464,6518694.408903981
46.73A,PLATTARD CARRELAGES,"",45,ALLEE,DU MENS,69100,VILLEURBANNE,848144.3922965059,6521912.38002423
46.73A,CH LEROUX,"",254,RUE,VENDOME,69003,LYON,843572.0013307976,6519197.130395543
46.73A,OLLIER BOIS,"",552,RUE,DE L’ECOSSAIS,69400,LIMAS,833763.5793580052,6543132.390588828
46.73A,MZ EMBALLAGES,"",4,CHEMIN,MAURICE FERREOL,69120,VAULX-EN-VELIN,848919.2476536597,6522618.861235644
46.73A,FRANCE NEG,"",176,RUE,DES FRERES LUMIERE,69400,VILLEFRANCHE-SUR-SAONE,832402.567404132,6543667.026268079
46.73A,INTERSTOCK,"",25,RUE,JEAN JAURES,69740,GENAS,856766.2686632922,6517488.4649646925
46.73A,PLATTARD NEGOCE,"",2,RUE,LOUIS PRADEL,69960,CORBAS,848778.795902707,6509974.68886145
46.73A,AB CONCEPT,"",9,AVENUE,GENERAL LECLERC,69140,RILLIEUX-LA-PAPE,847740.4946318705,6525545.489691988
46.73A,PLATTARD NEGOCE,"",676,ROUTE,DE LYON,69380,LOZANNE,831041.3894423695,6529843.631591125
46.73A,ARTMONY,"",24,RUE,PAUL ET MARC BARBEZAT,69150,DECINES-CHARPIEU,850778.0811287519,6519724.210612293
46.73A,DISTRIBUTION AMENAGEMENT ET ISOLATION,13/14,"",RUE,JACQUES MONOD,69320,FEYZIN,844017.2748122918,6510010.890929782
46.73A,HK TRANSIT,"",12,CHEMIN,MAURICE FERREOL,69120,VAULX-EN-VELIN,848879.3133900808,6522608.782856678
46.73A,3B,"",2360,ROUTE,DE SAVIGNY,69490,ANCY,819302.01,6526876.95
46.73A,ONE TWO PALETTE,"",70,RUE,PAUL ET MARC BARBEZAT,69150,DECINES-CHARPIEU,850724.7882049237,6519263.345356322
46.73A,GIRARDON MATERIAUX,ZAC DE LA PESSELIERE,20,RUE,JOSEPH MARIE JACQUARD,69780,MIONS,852530.5848287684,6510573.767240347
46.73A,Z POOL CONCEPT,"",13,CHEMIN,DES RIVIERES,69370,SAINT-DIDIER-AU-MONT-D'OR,839802.3739921198,6523085.852359051
46.73A,GIRARDON MATERIAUX,PARC D'ACTIVITES DE CHARPENAY,"",ALL,DES BOUTONS D'OR,69210,LENTILLY,0,0
46.73A,ANAECOBAT SOLUTION PEINTURE,"",17,RUE,LOUIS SAILLANT,69120,VAULX-EN-VELIN,850707.7927168661,6521474.283008059
46.73A,ASTURIENNE,"",52,RUE,COLIERE,69780,MIONS,850633.0029667187,6511166.807379381
46.73A,ZINCO,LE 144-COWORKING A LYON,45,RUE,DE LA BOURSE,69002,LYON,842761.2,6519954.23
46.73A,PPC,"",17,RUE,PAUL VERLAINE,69100,VILLEURBANNE,846122.07,6520465.01
46.73A,BK DIFFUSION,"",15,RUE,LAVOISIER,69780,SAINT-PIERRE-DE-CHANDIEU,856429.91,6509184.89
46.73A,L'ATELIER DES TRADITIONS,"",81,RTE,NATIONALE 6,69570,DARDILLY,0,0
46.73A,MBO,"",62,RUE,DE BREST,69002,LYON,842480.8672908694,6519595.360553544
46.73A,MONSIEUR FENETRES,"",98,RUE,ALEXANDRE DUMAS,69120,VAULX-EN-VELIN,850076.837267594,6518932.0965435505
46.73A,SOCIETE FAURE,"",17,RUE,BOIRON,69440,MORNANT,830384.7387386606,6503386.176419102
46.73A,BF DIFFUSION,PARC ACTIVITE 3 COMMUNES TAFFIGNON,"",ROUTE,DE FRANCHEVILLE,69630,CHAPONOST,837811.0174004993,6515689.803569244
46.73A,RECYCLE PALETTE,"",3,RUE,JOHANN STRAUSS,69200,VENISSIEUX,847710.6537952457,6511928.097551623
46.73A,ECO 3 BOIS,"",2,CHEMIN,DU GENIE,69200,VENISSIEUX,844817.0525406802,6514649.258048379
46.73A,THERMIMUR DISTRIBUTION SAS,"",6,IMPASSE,MONGE,69330,MEYZIEU,857355.018121856,6520430.682296631
46.73A,CLOTURE ET CARRELAGE,"",146,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,853600.173950952,6514352.0058430955
46.73A,AUTREMENT PIERRES,"",68,RUE,DE LA POSTE,69220,BELLEVILLE-EN-BEAUJOLAIS,835190.52,6558314.46
46.73A,PALMY BOIS SYLVICOLE,"",29,CHE,DU LUCE,69430,DEUX-GROSNES,0,0
46.73A,ECONERGIE SERVICES,"",551,CHEMIN,DES BROSSES,69870,POULE-LES-ECHARMEAUX,814069.6911550625,6560104.717583959
46.73A,ERIC MALGREY COMMERCIAL BOIS CONSTRUCTION,"",24,RUE,GAMBETTA THIZY,69240,THIZY-LES-BOURGS,0,0
46.73A,ED,"",325,RUE,DES EPARVIERS,69360,SOLAIZE,843048.138130397,6505877.345317317
46.73A,LYON STRUCTURES BOIS,"",23,COURS,FRANKLIN ROOSEVELT,69006,LYON,843470.8278398117,6520511.075951667
46.73A,SARL B C D,"",47,RUE,DE LA GARE,69330,PUSIGNAN,861253.3006183396,6520185.750863731
46.73A,MARAVAL ENERGIE,"",80,CHEMIN,DE L’HERSE,69510,THURINS,826872.3512354923,6509820.201812814
46.73A,DESIGN STREET,"",17,RUE,DU 11 NOVEMBRE 1918,69320,FEYZIN,844053.3175205864,6509420.001939917
46.73A,SARL B C D,"","","",Z A  LES HAIES,69480,MORANCE,0,0
46.73A,LSC BOIS,SAINT-DIDIER-SOUS-RIVERIE,439,RTE,DE LA SAULEE,69440,CHABANIERE,0,0
46.73A,B.S.G OUVERTURES,"",226,RUE,DU GENERAL DE GAULLE,69530,BRIGNAIS,836411.2277528017,6508769.890752302
46.73A,ARTELI SGL,"",119,ROUTE,DE BRIGNAIS,69230,SAINT-GENIS-LAVAL,837773.5616430868,6513832.498784395
46.73A,M.D.S.,"","","",CHEZ BONTEMPS,69620,TERNAND,0,0
46.73A,FABRICATION BOIS CONCEPT,"",4,RUE,MARCEL DASSAULT,69740,GENAS,854350.0399566126,6516130.411774111
46.73A,SOLEGNO,LIEUDIT BEAUVERSANT,303,ROUTE,DE BRIGNAIS,69230,SAINT-GENIS-LAVAL,837487.7240071909,6512104.479404757
46.73A,RENOV'ROUTE,"",6,ALLEE,DU RUISSEAU DE RIBBES,69160,TASSIN-LA-DEMI-LUNE,835274.4098768465,6520297.553574604
46.73A,MATERIEL ET MATERIAUX,"",3000,ROUTE,DE RAVEL,69440,MORNANT,833084.6738284411,6503670.143896047
46.73A,TENDANCE MENUISERIES,"",45,RUE,D’ALMA,69400,VILLEFRANCHE-SUR-SAONE,832925.6903357889,6544324.846879296
46.73A,XSTONE FRANCE,"",181,RUE,DES VERNAILLES,69830,SAINT-GEORGES-DE-RENEINS,832995.6116377052,6552231.256820048
46.73A,ARCHITECTURAL CONCEPT,"",51,CHEMIN,DU MOULIN CARRON,69570,DARDILLY,837184.9635654461,6524220.168976908
46.73A,LOGIBIO,"",18,RUE,DES ROSIERISTES,69410,CHAMPAGNE-AU-MONT-D'OR,838337.900182471,6524122.109440861
46.73A,CTC RHONE ALPES,"",27,AVENUE,PABLO PICASSO,69120,VAULX-EN-VELIN,849073.1486465835,6521274.712824535
46.73A,INTERNATIONAL NEGOCIATION CARRELAGE,"",7,RUE,CONSTANTINE,69001,LYON,842337.434779028,6520248.185284767
46.73A,MD PALETTES,"",140,ROUTE,DE VOURLES,69230,SAINT-GENIS-LAVAL,839225.0579700568,6510477.185576954
46.73A,CONCEPT WORLD,"",146,RUE,DES QUATRE CHEMINS,69390,MILLERY,0,0
46.73A,SOC DIFFUSION MENUISERIES ARTISANALES,ANGLE 23 RUE DU PROGRES,12,RUE,DES PIVERTS,69800,SAINT-PRIEST,852474.0042335752,6515091.542156977
46.73A,CLARISTYLE,WEST PARK,21,RUE,DE L’INDUSTRIE,69530,BRIGNAIS,838025.688545445,6509706.008365332
46.73A,INVEST HOME ECO,"",11,RUE,DES AULNES,69410,CHAMPAGNE-AU-MONT-D'OR,838071.438037522,6524293.940443602
46.73A,HABITAT MULTI SERVICES,"",18,RUE,DE GENEVE,69006,LYON,844623.1723566726,6520757.740465417
46.73A,ETABLISSEMENTS PAUL PIRET,"",27,RUE,DES MARRONNIERS,69480,ANSE,833371.9297765527,6539001.66386984
46.73A,TECOBAIE LB,ZA DE TAFFIGNON,"",ROUTE,DES AQUEDUCS,69630,CHAPONOST,837501.7906810674,6515192.346303758
46.73A,ETABLISSEMENT LOUIS GENTY,"",183,RUE,CLAUDE TERRASSE,69210,L'ARBRESLE,825434.7368653264,6527270.088731011
46.73A,ELIGO BOIS,"",27,RUE,DU CHAPITRE,69126,BRINDAS,832182.8252629297,6514625.016497508
46.73A,BAPTISTAL PERE ET FILS,LES RAISSES,"",LD,LE CIMETIERE,69910,VILLIE-MORGON,0,0
46.73A,DIDIER DAGUE,"",56,ALLEE,DES ECUREUILS,69620,FRONTENAS,827900.372053179,6537689.198852831
46.73A,LES MAITRES CARRIERS LTD,"","",ROUTE,DEPARTEMENTALE 2,69700,GIVORS,835052.3705711957,6500209.3750589825
46.73A,BMVA,"",66,AVENUE,DU 8 MAI 1945,69120,VAULX-EN-VELIN,848349.7098698879,6522787.568014862
46.73A,SARL ALLIANCE VERANDA ET FERMETURE,"",16,RUE,DES AQUEDUCS,69290,CRAPONNE,835320.1054010048,6518108.66169839
46.73A,ABEMCO,ZA LA NOYERAIE,47,IMPASSE,DES PEUPLIERS,69490,SARCEY,819443.1954788925,6532213.690762087
46.73A,LUMINA MENUISERIE,PARC D'ARIANE 3,151,IMPASSE,DE LA BALME,69800,SAINT-PRIEST,854517.1249119571,6513704.046978123
46.73A,BATI DIFFUSION,"",94,RUE,AMBROISE PARE,69800,SAINT-PRIEST,853874.7161375412,6514076.27577312
46.73A,DS DISTRIBUTION,"",12,AV,DES SAULES,69310,OULLINS-PIERRE-BENITE,0,0
46.73A,COLOMB BOIS,"","","",LES GIERES,69430,DEUX-GROSNES,0,0
46.73A,MONTAGNY,"","","",984 RN 6,69760,LIMONEST,0,0
46.73A,MONTS RENOV,ETAGE 0,1,RUE,DES ABATTOIRS,69850,SAINT-MARTIN-EN-HAUT,821439.9844278393,6507860.201915702
46.73A,SKYWOOD,G2C BUSINESS CENTER,63,RUE,ANDRE BOLLIER,69007,LYON,842439.2512170745,6516650.752864149
46.73A,P&M DISTRIBUTION,D312,33,ROUTE,DE GIVORS,69360,TERNAY,841105.6974506357,6503365.246276572
46.73A,GB IMPEX,ZA DE LA RONZE,15,CHEMIN,DES EGLANTIERS,69440,TALUYERS,834958.7984247115,6505440.244547155
46.73A,MONTAGNY,"",157,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,853595.9934158893,6514335.571659103
46.73A,ONE SHOT,"",39,AVENUE,SIDOINE APOLLINAIRE,69009,LYON,839563.2133029524,6520779.727322876
46.73A,LA PLATEFORME,"",192,AVENUE,FRANCIS DE PRESSENSE,69200,VENISSIEUX,845778.6421379787,6514300.105772834
46.73A,M.F.E,"",161,AVENUE,FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,850392.007408279,6518798.957560711
46.73A,DOMODULIS,"",238,CHEMIN,DE CONZY,69380,CHATILLON,827212.2551542252,6531560.210743443
46.73A,BAIE ATTITUDE,"",257,"",GARE LA GUILLOTIERE,69007,LYON 7EME,0,0
46.73A,PHV MAT,ZA DE LA GRANGE THIVAL,61,RUE,DU RUISSEAU,69930,SAINT-LAURENT-DE-CHAMOUSSET,813454.5259871925,6516195.523011691
46.73A,MONTAGNY,LIEU DIT  AU MOIRE,"",ROUTE,DE LOZANNE,69210,SAINT-GERMAIN-NUELLES,826524.1569617359,6528074.667949744
46.73A,BATISIMAT,"",16,RUE,MARCEL PAUL,69700,GIVORS,838137.7865325562,6499723.775499714
46.73A,M.A.V.I,ZA DES PLAINES - SAINT LAURENT D'OINGT,130,ROUTE,DES PLAINES,69620,VAL D'OINGT,820819.85,6537413.54
46.73A,EXLL-EXPORT LOGS & LUMBERS,"",2,PLACE,SAINT JEAN,69005,LYON,841961.6717225385,6519520.677166286
46.73A,SECURIBAT RHONE ALPES,"",11,AVENUE,DE LA REPUBLIQUE,69200,VENISSIEUX,845125.6016949139,6513746.223780449
46.73A,CERAKASA,"",2,CHEMIN,DU GENIE,69200,VENISSIEUX,844817.0525406802,6514649.258048379
46.73A,OVALTECH,"",146,RUE,THIMONNIER,69730,GENAY,841150.9466795493,6533815.852585879
46.73A,AGENCE COMMERCIALE GEORGES SUDON,"",12,CHEMIN,DES LAIES,69540,IRIGNY,841797.7250342972,6510529.679482211
46.73A,CASA-NOVA MATERIAUX,"",16,RUE,DU BOIS BARON,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
46.73A,FAURE,"",205,AVENUE,ROGER SALENGRO,69100,VILLEURBANNE,846687.4325711124,6522037.21156139
46.73A,ESPACE MENUISERIE,"",1525,ROUTE,DE FRANS,69400,VILLEFRANCHE-SUR-SAONE,834726.8708122858,6544186.232687577
46.73A,CHAUSSON MATERIAUX,ZAC CANTUBAS,1,RUE,JOSEPH KESSEL,69170,TARARE,810464.9805782274,6535935.7613063175
46.73A,ROOFMART CENTRE EST,ZAC DES CORBEGES,"",RUE,DE LA VANOISE,69960,CORBAS,850254.0523256413,6511045.777886412
46.73A,LCVS,"",15,RUE,DES FONTAINES,69550,AMPLEPUIS,803359.3938568056,6542051.434595134
46.73A,LYONNAISE DES SOLS,"",15,RUE,DES MARRONNIERS,69960,CORBAS,847487.4292794624,6508928.148016395
46.73A,CHAUSSON MATERIAUX,"",35,RUE,ROGER SALENGRO,69740,GENAS,853655.9696090004,6515425.047128377
46.73A,SITES,"",705,RUE,DE LA COMBE,69400,PORTE DES PIERRES DOREES,829605.3758127297,6543131.4468851285
46.73A,JCVI,"",37,RUE,DE BATAILLY,69380,CHAZAY-D'AZERGUES,831729.7492875238,6531813.556711034
46.73A,CHAUSSON MATERIAUX,"",41,RUE,AMBROISE PARE,69740,GENAS,853533.0359457115,6515247.456192333
46.73A,HADES DISTRIBUTION,"",254,RUE,VENDOME,69003,LYON,843572.0013307976,6519197.130395543
46.73A,NGR DIFFUSION,"",36,RUE,FELIX BRUN,69007,LYON,842449.27354604,6517036.769299743
46.73A,GLOBAL PROBAT,"",65,AVENUE,DU PROGRES,69680,CHASSIEU,852744.4954067788,6516604.693997656
46.73A,OUVERTURES SUR MESURE.FR,"",56,RUE,DES BIENVENUS,69100,VILLEURBANNE,846417.8666109578,6521243.863241351
46.73A,STYLUS DECOR PLUS,"",128,AVENUE,THIERS,69006,LYON,844653.3157769677,6520775.002304672
46.73A,DM DISTRIBUTION,32-34,32,AVENUE,DES FRERES MONTGOLFIER,69680,CHASSIEU,853365.6752294573,6515739.160453881
46.73A,GREENCOTTAGES,"",76,BOULEVARD,DU 11 NOVEMBRE 1918,69100,VILLEURBANNE,845119.0787198602,6521604.453052352
46.73A,ARPA FRANCE,"",6,ALLEE,IRENE JOLIOT CURIE,69800,SAINT-PRIEST,850422.8670478264,6514837.557985274
46.73A,MONEGOCE,"",254,RUE,VENDOME,69003,LYON,843572.0013307976,6519197.130395543
46.73A,LA PLATEFORME,"",23,RUE,MARIUS GROSSO,69120,VAULX-EN-VELIN,850462.0261825876,6520059.813572196
46.73A,PIERRACERAM,"",3,ALLEE,DU CHAZEAU,69510,MESSIMY,832018.3660510569,6513212.025160991
46.73A,ETS A BERNOUX,"",14,RUE,FULGENCIO GIMENEZ,69120,VAULX-EN-VELIN,849429.3884632807,6518727.56553515
46.73A,MALERBA DISTRIBUTION RHONE ALPES,"",27,RUE,DE L’INDUSTRIE,69530,BRIGNAIS,838166.6888059662,6509721.062098655
46.73A,ENERGIE GROUP FRANCE,"",44,ROUTE,DE GENAS,69003,LYON,846106.6151819511,6518975.473178575
46.73A,SARL  ROLLAND EMBALLAGES,"",12,AVENUE,DE MONTMARTIN,69960,CORBAS,849605.4849551471,6509944.325379466
46.73A,APTI-BAT,"",99,MTE,DE CHOULANS,69005,LYON 5EME,0,0
46.73A,6 D SOLUTIONS,"",17,PLACE,XAVIER RICARD,69110,SAINTE-FOY-LES-LYON,840435.5088848945,6516805.420929438
46.73A,ROCHE EXPLOITATION MATERIAUX,"","","",ZONE PORTUAIRE,69360,SEREZIN-DU-RHONE,0,0
46.73A,AMINCO,"",189,RUE,LEON BLUM,69100,VILLEURBANNE,848270.9479996144,6519727.543254457
46.73A,ALLIANCE BOIS,"",58,ROUTE,DE PARIS,69160,TASSIN-LA-DEMI-LUNE,836989.7755172901,6520122.899450426
46.73A,GERKEN,Z.A.C. DE L ORME,3,CHEMIN,DU CAMPING,69420,CONDRIEU,838512.2275985935,6486437.210138223
46.73A,ADB DECORATION,ZAC DES GRILLONS,111,RUE,DE L’ANCIENNE DISTILLERIE,69400,GLEIZE,831779.6961189859,6545668.153317488
46.73A,FGC,G2C BUSINESS CENTER,63,RUE,ANDRE BOLLIER,69007,LYON,842439.2512170745,6516650.752864149
46.73A,JTM PARQUET,"",36,CHEMIN,DE REVAISON,69800,ST PRIEST,0,0
46.73A,LCDM CONSEIL & DISTRIBUTION,"",65,RUE,DE L'EGALITE,69150,DECINES-CHARPIEU,852834.3276327461,6520509.0241244435
46.73A,GEOMAT,"",28,RUE,DES COMBATTANTS EN AFN,69720,SAINT-LAURENT-DE-MURE,0,0
46.73A,DERBIGUM FRANCE,KORNER 2   IMMEUBLE B,13,RUE,PIERRE GILLES DE GENNES,69007,LYON,843416.7746514679,6515449.839835993
46.73A,AGV FERMETURES,"",444,RUE,DES JONCHERES,69730,GENAY,841285.3782803104,6534820.4501905115
46.73A,[ND],[ND],[ND],[ND],[ND],[ND],MESSIMY,[ND],[ND]
46.73A,ZIP-CLIP,ZONE D'EPINAY,192,RUE,DE LA CHAPELLE,69400,GLEIZE,832194.4735359508,6546301.695762534
46.73A,CARRODRIVE,"",15,RUE,JEAN CORONA,69120,VAULX-EN-VELIN,848313.5379615054,6521728.403829558
46.73A,NATURAMAT,"",181,RUE,DES VERNAILLES,69830,SAINT-GEORGES-DE-RENEINS,832995.6116377052,6552231.256820048
46.73A,EXORS,"",324,"",ROUTE DE LA MITONNIERE,69670,VAUGNERAY,0,0
46.73A,ARKTIC,"",160,RUE,HELENE BOUCHER,69140,RILLIEUX-LA-PAPE,847997.4164750137,6527033.088766887
